78,IN9036D01042,THE KARUR VYSYA BANK LIMITED PP RS.6/-,THE KARUR VYSYA BANK LIMITED,EQUITY SHARES,SUSPENDED
79,IN9036D01059,THE KARUR VYSYA BANK LIMITED PP RS.8/-,THE KARUR VYSYA BANK LIMITED,Equity Shares,Deleted
80,IN9037E01014,TATA TELESERVICES LIMITED EQ PP RS. 7.5/-,TATA TELESERVICES LIMITED,EQUITY SHARES,ACTIVE
81,IN9038A01010,HINDALCO INDUSTRIES LIMITED EQ PP RE.0.25/-,HINDALCO INDUSTRIES LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
82,IN9038A01028,HINDALCO INDUSTRIES LIMITED EQ NEW PP RS.0.50/-,HINDALCO INDUSTRIES LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
83,IN9039001015,STRIKE RIGHT INTEGRATED SERVICES LIMITED EQ PP RS 9.15,STRIKE RIGHT INTEGRATED SERVICES LIMITED,EQUITY SHARES,ACTIVE
84,IN9039A01018,IFCI LIMITED EQ PRODIV 090300,IFCI LIMITED,Equity Shares,Deleted
85,IN9039B01016,CINEVISTAAS LTD EQ PRODIV 240200,CINEVISTA LIMITED,Equity Shares,Deleted
86,IN9039B01024,CINEVISTAAS LTD EQ PRODIV 101299,CINEVISTA LIMITED,Equity Shares,Deleted
87,IN9039B01032,CINEVISTAAS LTD EQ PRODIV 211299,CINEVISTA LIMITED,Equity Shares,Deleted
88,IN9039B01040,CINEVISTA LIMITED PP PRODIV 240200,CINEVISTA LIMITED,EQUITY SHARES,ACTIVE
89,IN9039B01057,CINEVISTAAS LTD FP PRODIV 240200,CINEVISTA LIMITED,Equity Shares,Deleted
90,IN903AA01012,SCIKNOW TECHNO SOLUTIONS LIMITED EQ PP RS 2.50,SCIKNOW TECHNO SOLUTIONS LIMITED,EQUITY SHARES,DELETED
91,IN903AS01014,NATIONAL SPOT EXCHANGE LIMITED EQ PP RS 5/-,NATIONAL SPOT EXCHANGE LIMITED,EQUITY SHARES,DELETED
92,IN903AS01022,NATIONAL SPOT EXCHANGE LIMITED EQ NEW PP RS.5/-,NATIONAL SPOT EXCHANGE LIMITED,EQUITY SHARES,DELETED
93,IN903AS01030,NATIONAL SPOT EXCHANGE LIMITED EQ PP RS.5/-,NATIONAL SPOT EXCHANGE LIMITED,EQUITY SHARES,ACTIVE
94,IN903DZ01013,SANKHYASUTRA LABS  LIMITED EQ PP RE 0.90,SANKHYASUTRA LABS  LIMITED,EQUITY SHARES,ACTIVE
95,IN903GS01011,RUSSELL CREDIT LTD EQ PP RS 6.50,RUSSELL CREDIT LTD,EQUITY SHARES,DELETED
96,IN903J901018,SUSHRIPADA INVESTMENTS PRIVATE LIMITED EQ PP RS.10/-,SUSHRIPADA INVESTMENTS PRIVATE LIMITED,EQUITY SHARES,DELETED
97,IN903NT01015,SPRNG ENERGY PRIVATE LIMITED EQ NEW FV RS.4.175/-,SPRNG ENERGY PRIVATE LIMITED,EQUITY SHARES,DELETED
98,IN903NT01023,SPRNG ENERGY PRIVATE LIMITED EQ PP RS. 5.675/-,SPRNG ENERGY PRIVATE LIMITED,EQUITY SHARES,DELETED
99,IN903OS01015,GARWARE BESTRETCH LIMITED EQ PP RS 2,GARWARE BESTRETCH LIMITED,EQUITY SHARES,ACTIVE
100,IN903P401011,LSC INFRATECH LIMITED EQ PP RS.50/-,LSC INFRATECH LIMITED,EQUITY SHARES,ACTIVE
