ISIN,NAME
"INF740K01PR3","DSP Top 100 Equity Growth Direct Plan"
"INF740K01PS1","DSP Top 100 Equity IDCW Payout Direct Plan"
"INF740K01PS1","DSP Top 100 Equity IDCW Reinvest Direct Plan"
"INF754K01BT0","Edelweiss Large Cap IDCW Payout Direct Plan"
"INF754K01BU8","Edelweiss Large Cap IDCW Reinvest Direct Plan"
"INF754K01BW4","Edelweiss Large Cap Growth Direct Plan"
"INF760K01FP6","Canara Robeco Bluechip Equity IDCW Payout Direct Plan"
"INF760K01FQ4","Canara Robeco Bluechip Equity IDCW Reinvest Direct Plan"
"INF760K01FR2","Canara Robeco Bluechip Equity Growth Direct Plan"
"INF767K01EI9","LIC MF Large Cap IDCW Payout Direct Plan"
"INF767K01EJ7","LIC MF Large Cap Growth Direct Plan"
"INF767K01EK5","LIC MF Large Cap IDCW Reinvest Direct Plan"
"INF769K01AX2","Mirae Asset Large Cap Growth Direct Plan"
"INF769K01AY0","Mirae Asset Large Cap IDCW Payout Direct Plan"
"INF769K01AZ7","Mirae Asset Large Cap IDCW Reinvest Direct Plan"
"INF789F01UQ2","UTI Mastershare Unit Scheme IDCW Payout Direct Plan"
"INF789F01UR0","UTI Mastershare Unit Scheme IDCW Reinvest Direct Plan"
"INF789F01US8","UTI Mastershare Unit Scheme Growth Direct Plan"
"INF846K01DN3","Axis Bluechip IDCW Payout Direct Plan"
"INF846K01DO1","Axis Bluechip IDCW Reinvest Direct Plan"
"INF846K01DP8","Axis Bluechip Growth Direct Plan"
"INF917K01FO5","L&T India Large Cap IDCW Payout Direct Plan"
"INF917K01FO5","L&T India Large Cap IDCW Reinvestent Reinvest Direct Plan"
"INF917K01FQ0","L&T India Large Cap Growth Direct Plan"
"INF955L01AH8","Baroda Large Cap B IDCW Payout Direct Plan"
"INF955L01AI6","Baroda Large Cap B IDCW Reinvest Direct Plan"
"INF955L01AJ4","Baroda Large Cap B Growth Direct Plan"
"INF959L01593","Essel Large Cap Equity Growth Direct Plan"
"INF959L01601","Essel Large Cap Equity Normal IDCW Payout Direct Plan"
"INF959L01619","Essel Large Cap Equity Normal IDCW Reinvest Direct Plan"
"INF959L01BK2","Essel Large Cap Equity Quarterly IDCW Payout Direct Plan"
"INF959L01BO4","Essel Large Cap Equity Quarterly IDCW Reinvest Direct Plan"
"INF959L01BT3","Essel Large Cap Equity Half Yearly IDCW Payout Direct Plan"
"INF959L01BU1","Essel Large Cap Equity Half Yearly IDCW Reinvest Direct Plan"
"INF959L01BV9","Essel Large Cap Equity Annual IDCW Payout Direct Plan"
"INF959L01BW7","Essel Large Cap Equity Annual IDCW Reinvest Direct Plan"
